Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2022-07-09 15:02:09,Other,INCIDENT INVOLVING CARS 47 (MSC) AND 3 (RIC) NOTED - STARTING PROCEDURE INFRINGEMENT,,,,,,23
2022-07-09 15:02:12,Other,CAR 3 (RIC) TIME 1:10.681 DELETED - TRACK LIMITS AT TURN 10 LAP 22 17:01:52,,,,,,23
2022-07-09 15:02:20,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 47 (MSC) AND 3 (RIC) WILL BE INVESTIGATED AFTER THE RACE - STARTING PROCEDURE INFRINGEMENT,,,,,,23
2022-07-09 15:02:24,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,23
2022-07-09 15:02:40,Flag,BLACK AND WHITE FLAG FOR CAR 10 (GAS) - TRACK LIMITS,,BLACK AND WHITE,Driver,,10,23
2022-07-09 15:03:09,Other,CAR 3 (RIC) TIME 1:10.927 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),,,,,,23
2022-07-09 15:03:22,Other,CAR 4 (NOR) TIME 1:10.682 DELETED - TRACK LIMITS AT TURN 10 LAP 23 17:03:02,,,,,,23
2022-07-09 15:03:36,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,23
2022-07-09 15:03:37,Other,DRS DISABLED IN ZONE 1,,,,,,23
2022-07-09 15:06:38,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,23
2022-07-09 15:09:55,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,23
2022-07-09 15:09:55,Other,DRS ENABLED IN ZONE 1,,,,,,23
