Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2023-10-07 18:09:41,Other,CAR 18 (STR) TIME 1:30.259 DELETED - TRACK LIMITS AT TURN 13 LAP 19 21:08:42,,,,,,19
2023-10-07 18:10:41,Other,CAR 16 (LEC) TIME 1:30.632 DELETED - TRACK LIMITS AT TURN 13 LAP 19 21:08:40,,,,,,19
2023-10-07 18:10:42,Other,CAR 16 (LEC) TIME 1:30.632 DELETED - TRACK LIMITS AT TURN 14 LAP 19 21:08:42,,,,,,19
2023-10-07 18:10:51,Other,CAR 23 (ALB) TIME 1:28.748 DELETED - TRACK LIMITS AT TURN 13 LAP 19 21:08:41,,,,,,19
2023-10-07 18:11:02,Other,CAR 16 (LEC) TIME 1:30.632 DELETED - TRACK LIMITS AT TURN 5 LAP 19 21:08:02,,,,,,19
2023-10-07 18:11:36,Other,CAR 16 (LEC) TIME 1:30.632 DELETED - TRACK LIMITS AT TURN 15 LAP 19 21:08:47,,,,,,19
2023-10-07 18:12:37,Other,TRACK LIMIT INFRINGEMENTS ARE STILL UNDER INVESTIGATION,,,,,,19
2023-10-07 18:12:48,Other,CAR 18 (STR) TIME 1:30.259 DELETED - TRACK LIMITS AT TURN 15 LAP 19 21:08:52,,,,,,19
2023-10-07 18:12:55,Other,CAR 20 (MAG) TIME 1:29.900 DELETED - TRACK LIMITS AT TURN 15 LAP 19 21:08:52,,,,,,19
2023-10-07 18:13:16,Other,CAR 24 (ZHO) TIME 1:32.079 DELETED - TRACK LIMITS AT TURN 5 LAP 19 21:08:08,,,,,,19
2023-10-07 18:13:29,Flag,BLACK AND WHITE FLAG FOR CAR 18 (STR) - TRACK LIMITS,,BLACK AND WHITE,Driver,,18,19
2023-10-07 18:13:35,Flag,BLACK AND WHITE FLAG FOR CAR 16 (LEC) - TRACK LIMITS,,BLACK AND WHITE,Driver,,16,19
2023-10-07 18:17:50,Other,INCIDENT INVOLVING CAR 18 (STR) NOTED - TRACK LIMITS,,,,,,19
2023-10-07 18:17:54,Other,INCIDENT INVOLVING CAR 16 (LEC) NOTED - TRACK LIMITS,,,,,,19
2023-10-07 18:18:11,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 18 (STR) WILL BE INVESTIGATED AFTER THE SPRINT - TRACK LIMITS,,,,,,19
2023-10-07 18:18:14,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 16 (LEC) WILL BE INVESTIGATED AFTER THE SPRINT - TRACK LIMITS,,,,,,19
